#榜单	机器人id	机器人排名
ranktype	id	pos
1	11000	5
1	10999	7
1	10998	8
1	10997	1
1	10996	6
1	10995	9
1	10994	10
1	10993	3
1	10992	2
1	10991	4
1	10990	11
1	10989	12
1	10988	13
1	10987	14
1	10986	15
1	10985	16
1	10984	17
1	10983	18
1	10982	19
1	10981	20
1	10980	21
1	10979	22
1	10978	23
1	10977	24
1	10976	25
1	10975	26
1	10974	27
1	10973	28
1	10972	29
1	10971	30
1	10970	31
1	10969	32
1	10968	33
1	10967	34
1	10966	35
1	10965	36
1	10964	37
1	10963	38
1	10962	39
1	10961	40
1	10960	41
1	10959	42
1	10958	43
1	10957	44
1	10956	45
1	10955	46
1	10954	47
1	10953	48
1	10952	49
1	10951	50
1	10950	51
1	10948	52
1	10946	53
1	10944	54
1	10942	55
1	10940	56
1	10938	57
1	10936	58
1	10934	59
1	10932	60
1	10930	61
1	10928	62
1	10926	63
1	10924	64
1	10922	65
1	10920	66
1	10918	67
1	10916	68
1	10914	69
1	10912	70
1	10910	71
1	10908	72
1	10906	73
1	10904	74
1	10902	75
1	10900	76
1	10898	77
1	10896	78
1	10894	79
1	10892	80
1	10890	81
1	10888	82
1	10886	83
1	10884	84
1	10882	85
1	10880	86
1	10878	87
1	10876	88
1	10874	89
1	10872	90
1	10870	91
1	10868	92
1	10866	93
1	10864	94
1	10862	95
1	10860	96
1	10858	97
1	10856	98
1	10854	99
1	10852	100
1	10850	101
1	10847	102
1	10844	103
1	10841	104
1	10838	105
1	10835	106
1	10832	107
1	10829	108
1	10826	109
1	10823	110
1	10820	111
1	10817	112
1	10814	113
1	10811	114
1	10808	115
1	10805	116
1	10802	117
1	10799	118
1	10796	119
1	10793	120
1	10790	121
1	10787	122
1	10784	123
1	10781	124
1	10778	125
1	10775	126
1	10772	127
1	10769	128
1	10766	129
1	10763	130
1	10760	131
1	10757	132
1	10754	133
1	10751	134
1	10748	135
1	10745	136
1	10742	137
1	10739	138
1	10736	139
1	10733	140
1	10730	141
1	10727	142
1	10724	143
1	10721	144
1	10718	145
1	10715	146
1	10712	147
1	10709	148
1	10706	149
1	10703	150
1	10700	151
1	10696	152
1	10692	153
1	10688	154
1	10684	155
1	10680	156
1	10676	157
1	10672	158
1	10668	159
1	10664	160
1	10660	161
1	10656	162
1	10652	163
1	10648	164
1	10644	165
1	10640	166
1	10636	167
1	10632	168
1	10628	169
1	10624	170
1	10620	171
1	10616	172
1	10612	173
1	10608	174
1	10604	175
1	10600	176
1	10596	177
1	10592	178
1	10588	179
1	10584	180
1	10580	181
1	10576	182
1	10572	183
1	10568	184
1	10564	185
1	10560	186
1	10556	187
1	10552	188
1	10548	189
1	10544	190
1	10540	195
1	10536	192
1	10532	196
1	10528	200
1	10524	199
1	10520	197
1	10516	191
1	10512	193
1	10508	198
1	10504	194
2	11000	3
2	10999	4
2	10998	7
2	10997	2
2	10996	9
2	10995	5
2	10994	1
2	10993	8
2	10992	6
2	10991	10
2	10990	11
2	10989	12
2	10988	13
2	10987	14
2	10986	15
2	10985	16
2	10984	17
2	10983	18
2	10982	19
2	10981	20
2	10980	21
2	10979	22
2	10978	23
2	10977	24
2	10976	25
2	10975	26
2	10974	27
2	10973	28
2	10972	29
2	10971	30
2	10970	31
2	10969	32
2	10968	33
2	10967	34
2	10966	35
2	10965	36
2	10964	37
2	10963	38
2	10962	39
2	10961	40
2	10960	41
2	10959	42
2	10958	43
2	10957	44
2	10956	45
2	10955	46
2	10954	47
2	10953	48
2	10952	49
2	10951	50
2	10950	51
2	10948	52
2	10946	53
2	10944	54
2	10942	55
2	10940	56
2	10938	57
2	10936	58
2	10934	59
2	10932	60
2	10930	61
2	10928	62
2	10926	63
2	10924	64
2	10922	65
2	10920	66
2	10918	67
2	10916	68
2	10914	69
2	10912	70
2	10910	71
2	10908	72
2	10906	73
2	10904	74
2	10902	75
2	10900	76
2	10898	77
2	10896	78
2	10894	79
2	10892	80
2	10890	81
2	10888	82
2	10886	83
2	10884	84
2	10882	85
2	10880	86
2	10878	87
2	10876	88
2	10874	89
2	10872	90
2	10870	91
2	10868	92
2	10866	93
2	10864	94
2	10862	95
2	10860	96
2	10858	97
2	10856	98
2	10854	99
2	10852	100
2	10850	101
2	10847	102
2	10844	103
2	10841	104
2	10838	105
2	10835	106
2	10832	107
2	10829	108
2	10826	109
2	10823	110
2	10820	111
2	10817	112
2	10814	113
2	10811	114
2	10808	115
2	10805	116
2	10802	117
2	10799	118
2	10796	119
2	10793	120
2	10790	121
2	10787	122
2	10784	123
2	10781	124
2	10778	125
2	10775	126
2	10772	127
2	10769	128
2	10766	129
2	10763	130
2	10760	131
2	10757	132
2	10754	133
2	10751	134
2	10748	135
2	10745	136
2	10742	137
2	10739	138
2	10736	139
2	10733	140
2	10730	141
2	10727	142
2	10724	143
2	10721	144
2	10718	145
2	10715	146
2	10712	147
2	10709	148
2	10706	149
2	10703	150
2	10700	151
2	10696	152
2	10692	153
2	10688	154
2	10684	155
2	10680	156
2	10676	157
2	10672	158
2	10668	159
2	10664	160
2	10660	161
2	10656	162
2	10652	163
2	10648	164
2	10644	165
2	10640	166
2	10636	167
2	10632	168
2	10628	169
2	10624	170
2	10620	171
2	10616	172
2	10612	173
2	10608	174
2	10604	175
2	10600	176
2	10596	177
2	10592	178
2	10588	179
2	10584	180
2	10580	181
2	10576	182
2	10572	183
2	10568	184
2	10564	185
2	10560	186
2	10556	187
2	10552	188
2	10548	189
2	10544	190
2	10540	191
2	10536	192
2	10532	193
2	10528	194
2	10524	195
2	10520	196
2	10516	197
2	10512	198
2	10508	199
2	10504	200
3	11000	2
3	10999	3
3	10998	1
3	10997	7
3	10996	4
3	10995	6
3	10994	8
3	10993	5
3	10992	9
3	10991	10
3	10990	11
3	10989	12
3	10988	13
3	10987	14
3	10986	15
3	10985	16
3	10984	17
3	10983	18
3	10982	19
3	10981	20
3	10980	21
3	10979	22
3	10978	23
3	10977	24
3	10976	25
3	10975	26
3	10974	27
3	10973	28
3	10972	29
3	10971	30
3	10970	31
3	10969	32
3	10968	33
3	10967	34
3	10966	35
3	10965	36
3	10964	37
3	10963	38
3	10962	39
3	10961	40
3	10960	41
3	10959	42
3	10958	43
3	10957	44
3	10956	45
3	10955	46
3	10954	47
3	10953	48
3	10952	49
3	10951	50
3	10950	51
3	10948	52
3	10946	53
3	10944	54
3	10942	55
3	10940	56
3	10938	57
3	10936	58
3	10934	59
3	10932	60
3	10930	61
3	10928	62
3	10926	63
3	10924	64
3	10922	65
3	10920	66
3	10918	67
3	10916	68
3	10914	69
3	10912	70
3	10910	71
3	10908	72
3	10906	73
3	10904	74
3	10902	75
3	10900	76
3	10898	77
3	10896	78
3	10894	79
3	10892	80
3	10890	81
3	10888	82
3	10886	83
3	10884	84
3	10882	85
3	10880	86
3	10878	87
3	10876	88
3	10874	89
3	10872	90
3	10870	91
3	10868	92
3	10866	93
3	10864	94
3	10862	95
3	10860	96
3	10858	97
3	10856	98
3	10854	99
3	10852	100
3	10850	101
3	10847	102
3	10844	103
3	10841	104
3	10838	105
3	10835	106
3	10832	107
3	10829	108
3	10826	109
3	10823	110
3	10820	111
3	10817	112
3	10814	113
3	10811	114
3	10808	115
3	10805	116
3	10802	117
3	10799	118
3	10796	119
3	10793	120
3	10790	121
3	10787	122
3	10784	123
3	10781	124
3	10778	125
3	10775	126
3	10772	127
3	10769	128
3	10766	129
3	10763	130
3	10760	131
3	10757	132
3	10754	133
3	10751	134
3	10748	135
3	10745	136
3	10742	137
3	10739	138
3	10736	139
3	10733	140
3	10730	141
3	10727	142
3	10724	143
3	10721	144
3	10718	145
3	10715	146
3	10712	147
3	10709	148
3	10706	149
3	10703	150
3	10700	151
3	10696	152
3	10692	153
3	10688	154
3	10684	155
3	10680	156
3	10676	157
3	10672	158
3	10668	159
3	10664	160
3	10660	161
3	10656	162
3	10652	163
3	10648	164
3	10644	165
3	10640	166
3	10636	167
3	10632	168
3	10628	169
3	10624	170
3	10620	171
3	10616	172
3	10612	173
3	10608	174
3	10604	175
3	10600	176
3	10596	177
3	10592	178
3	10588	179
3	10584	180
3	10580	181
3	10576	182
3	10572	183
3	10568	184
3	10564	185
3	10560	186
3	10556	187
