#矿点等级	矿点类型1、铜钱 2、科技币 3、元宝	产出物品ID	玩家等级	数量	产出间隔时间（秒）
minelevel	minetype	itemid	level	num	time
1	1	17010039	1	200	300
1	1	17010039	2	200	300
1	1	17010039	3	200	300
1	1	17010039	4	200	300
1	1	17010039	5	200	300
1	1	17010039	6	200	300
1	1	17010039	7	200	300
1	1	17010039	8	200	300
1	1	17010039	9	200	300
1	1	17010039	10	200	300
1	1	17010039	11	200	300
1	1	17010039	12	200	300
1	1	17010039	13	200	300
1	1	17010039	14	200	300
1	1	17010039	15	200	300
1	1	17010039	16	200	300
1	1	17010039	17	200	300
1	1	17010039	18	200	300
1	1	17010039	19	200	300
1	1	17010039	20	200	300
1	1	17010039	21	200	300
1	1	17010039	22	200	300
1	1	17010039	23	200	300
1	1	17010039	24	200	300
1	1	17010039	25	200	300
1	1	17010039	26	200	300
1	1	17010039	27	200	300
1	1	17010039	28	200	300
1	1	17010039	29	200	300
1	1	17010039	30	200	300
1	1	17010039	31	200	300
1	1	17010039	32	200	300
1	1	17010039	33	200	300
1	1	17010039	34	200	300
1	1	17010039	35	200	300
1	1	17010039	36	200	300
1	1	17010039	37	200	300
1	1	17010039	38	200	300
1	1	17010039	39	200	300
1	1	17010039	40	200	300
1	1	17010039	41	200	300
1	1	17010039	42	200	300
1	1	17010039	43	200	300
1	1	17010039	44	200	300
1	1	17010039	45	200	300
1	1	17010039	46	200	300
1	1	17010039	47	200	300
1	1	17010039	48	200	300
1	1	17010039	49	200	300
1	1	17010039	50	200	300
1	1	17010039	51	200	300
1	1	17010039	52	200	300
1	1	17010039	53	200	300
1	1	17010039	54	200	300
1	1	17010039	55	200	300
1	1	17010039	56	200	300
1	1	17010039	57	200	300
1	1	17010039	58	200	300
1	1	17010039	59	200	300
1	1	17010039	60	200	300
1	1	17010039	61	200	300
1	1	17010039	62	200	300
1	1	17010039	63	200	300
1	1	17010039	64	200	300
1	1	17010039	65	200	300
1	1	17010039	66	200	300
1	1	17010039	67	200	300
1	1	17010039	68	200	300
1	1	17010039	69	200	300
1	1	17010039	70	200	300
1	1	17010039	71	200	300
1	1	17010039	72	200	300
1	1	17010039	73	200	300
1	1	17010039	74	200	300
1	1	17010039	75	200	300
1	1	17010039	76	200	300
1	1	17010039	77	200	300
1	1	17010039	78	200	300
1	1	17010039	79	200	300
1	1	17010039	80	200	300
2	1	17010039	1	250	300
