#新手引导编号	引导步骤编号	是否为武将(1是 否)	品质(武将才填写)	奖励	数量（武将数量为1）
id	step	issoldier	color	rewards	num
35030000	35030003			17010043	3
35080000	35080003			17020047	5
35080000	35080003			17010007	5
35100000	35100003			17030050	1
35170000	35170001			17010054	60
35170000	35170001			17010038	100
35170000	35170001			17030081	1
35170000	35170001			17030100	1
35530000	35530001			17030050	1
35530000	35530001			17030050	1
35530000	35530001			17030050	1
35530000	35530001			17030050	1
35530000	35530001			17030050	1
35530000	35530001			17030050	1
35530000	35530001			17010058	1
35180000	35180002			17020048	5
35180000	35180002			17010008	3
35140000	35140001			17010054	5
35180000	35180002			17010054	3
35090000	35090001			17010054	5
35130000	35130002			17010054	5
35030000	35030003			17010054	5
35560000	35560001			17010040	1200
