#阵型ID	阵型index	名称	等级	位置	状态ID	概率	出手顺序ID(战斗服务器中的formationtactics.txt)	描述	当前阵型	效果描述图片
id	index	name	level	pos	statusid	random	tactics	memo	front	effect
16000001	6	八卦阵	1	2	15030001	10000	1	quang.png	防御增加20%	zzx.png
16000001	6	八卦阵	1	5	15030002	10000	1	quanr.png	防御降低10%	jzx.png
16000001	6	八卦阵	1	8	15030003	10000	1	quanr.png	防御降低5%	jzx.png
16000002	6	八卦阵	2	2	15030004	10000	1	quang.png	防御增加25%	zzx.png
16000002	6	八卦阵	2	5	15030005	10000	1	quanr.png	防御降低12%	jzx.png
16000002	6	八卦阵	2	8	15030006	10000	1	quanr.png	防御降低6%	jzx.png
16000003	6	八卦阵	3	2	15030007	10000	1	quang.png	防御增加30%	zzx.png
16000003	6	八卦阵	3	5	15030008	10000	1	quanr.png	防御降低15%	jzx.png
16000003	6	八卦阵	3	8	15030009	10000	1	quanr.png	防御降低7%	jzx.png
16000004	6	八卦阵	4	1	15030010	10000	1	quang.png	防御增加20%	zzx.png
16000004	6	八卦阵	4	2	15030011	10000	1	quang.png	防御增加30%	zzx.png
16000004	6	八卦阵	4	3	15030012	10000	1	quang.png	防御增加20%	zzx.png
16000004	6	八卦阵	4	4	15030013	10000	1	quanr.png	防御降低10%	jzx.png
16000004	6	八卦阵	4	5	15030014	10000	1	quanr.png	防御降低15%	jzx.png
16000004	6	八卦阵	4	6	15030015	10000	1	quanr.png	防御降低10%	jzx.png
16000004	6	八卦阵	4	7	15030016	10000	1	quanr.png	防御降低5%	jzx.png
16000004	6	八卦阵	4	8	15030017	10000	1	quanr.png	防御降低7%	jzx.png
16000004	6	八卦阵	4	9	15030018	10000	1	quanr.png	防御降低5%	jzx.png
16000005	6	八卦阵	5	1	15030019	10000	1	quang.png	防御增加25%	zzx.png
16000005	6	八卦阵	5	2	15030020	10000	1	quang.png	防御增加30%	zzx.png
16000005	6	八卦阵	5	3	15030021	10000	1	quang.png	防御增加25%	zzx.png
16000005	6	八卦阵	5	4	15030022	10000	1	quanr.png	防御降低12%	jzx.png
16000005	6	八卦阵	5	5	15030023	10000	1	quanr.png	防御降低15%	jzx.png
16000005	6	八卦阵	5	6	15030022	10000	1	quanr.png	防御降低12%	jzx.png
16000005	6	八卦阵	5	7	15030024	10000	1	quanr.png	防御降低6%	jzx.png
16000005	6	八卦阵	5	8	15030017	10000	1	quanr.png	防御降低7%	jzx.png
16000005	6	八卦阵	5	9	15030024	10000	1	quanr.png	防御降低6%	jzx.png
16000006	6	八卦阵	6	1	15030025	10000	1	quang.png	防御增加30%	zzx.png
16000006	6	八卦阵	6	2	15030025	10000	1	quang.png	防御增加30%	zzx.png
16000006	6	八卦阵	6	3	15030025	10000	1	quang.png	防御增加30%	zzx.png
16000006	6	八卦阵	6	4	15030026	10000	1	quanr.png	防御降低15%	jzx.png
16000006	6	八卦阵	6	5	15030026	10000	1	quanr.png	防御降低15%	jzx.png
16000006	6	八卦阵	6	6	15030026	10000	1	quanr.png	防御降低15%	jzx.png
