#ID(1:活动礼包；2：公会礼包；3：普通礼包；4：高级礼包；5：200元宝礼包)	奖励（相同ID的激活码具有相同的奖励）	激活码	开始时间（相同ID的激活码具有相同的开始结束时间）	结束时间
id	reward	key	bgtime	endtime
1	22170301	22DK2Z	2015/12/7 0:00	2016/2/8 23:59
1	22170301	79YR2X	2015/12/7 0:00	2016/2/8 23:59
1	22170301	87NZ9X	2015/12/7 0:00	2016/2/8 23:59
1	22170301	95YM7V	2015/12/7 0:00	2016/2/8 23:59
1	22170301	24UP5S	2015/12/7 0:00	2016/2/8 23:59
1	22170301	28VX5B	2015/12/7 0:00	2016/2/8 23:59
1	22170301	38US5S	2015/12/7 0:00	2016/2/8 23:59
1	22170301	38ZW9M	2015/12/7 0:00	2016/2/8 23:59
1	22170301	49JZ3J	2015/12/7 0:00	2016/2/8 23:59
1	22170301	95NU9S	2015/12/7 0:00	2016/2/8 23:59
1	22170301	93YF3C	2015/12/7 0:00	2016/2/8 23:59
1	22170301	39AE3D	2015/12/7 0:00	2016/2/8 23:59
1	22170301	77XC7E	2015/12/7 0:00	2016/2/8 23:59
1	22170301	22NV9Q	2015/12/7 0:00	2016/2/8 23:59
1	22170301	99MY5B	2015/12/7 0:00	2016/2/8 23:59
1	22170301	23JH3U	2015/12/7 0:00	2016/2/8 23:59
1	22170301	47DK2E	2015/12/7 0:00	2016/2/8 23:59
1	22170301	35ML9E	2015/12/7 0:00	2016/2/8 23:59
1	22170301	59VN2V	2015/12/7 0:00	2016/2/8 23:59
1	22170301	25EN3C	2015/12/7 0:00	2016/2/8 23:59
1	22170301	84JP4L	2015/12/7 0:00	2016/2/8 23:59
1	22170301	93TY8V	2015/12/7 0:00	2016/2/8 23:59
1	22170301	23LN4U	2015/12/7 0:00	2016/2/8 23:59
1	22170301	33XM3C	2015/12/7 0:00	2016/2/8 23:59
1	22170301	95WU5U	2015/12/7 0:00	2016/2/8 23:59
1	22170301	25EA5Y	2015/12/7 0:00	2016/2/8 23:59
1	22170301	89VZ7D	2015/12/7 0:00	2016/2/8 23:59
1	22170301	78PJ3Z	2015/12/7 0:00	2016/2/8 23:59
1	22170301	57YS2N	2015/12/7 0:00	2016/2/8 23:59
1	22170301	92HB2F	2015/12/7 0:00	2016/2/8 23:59
1	22170301	77ET5W	2015/12/7 0:00	2016/2/8 23:59
1	22170301	38UK5W	2015/12/7 0:00	2016/2/8 23:59
1	22170301	89TY7M	2015/12/7 0:00	2016/2/8 23:59
1	22170301	97WX7Z	2015/12/7 0:00	2016/2/8 23:59
1	22170301	23VC2M	2015/12/7 0:00	2016/2/8 23:59
1	22170301	48RD9S	2015/12/7 0:00	2016/2/8 23:59
1	22170301	74HP7E	2015/12/7 0:00	2016/2/8 23:59
1	22170301	58UQ4C	2015/12/7 0:00	2016/2/8 23:59
