#武将id	培养等级	物理攻击	物理防御	法术攻击	法术防御	生命	培养消耗
id	edulevel	eduphyatk	eduphydef	edumgcatk	edumgcdef	eduhp	educost
12000000	1	14	2	0	1	143	500
12000000	2	27	5	0	2	285	500
12000000	3	41	7	0	3	428	500
12000000	4	55	10	0	4	570	500
12000000	5	68	12	0	5	713	500
12000000	6	82	15	0	6	856	500
12000000	7	96	17	0	7	998	500
12000000	8	109	20	0	8	1141	500
12000000	9	123	22	0	9	1283	500
12000000	10	137	25	0	10	1426	500
12000000	11	150	27	0	11	1569	1000
12000000	12	164	30	0	12	1711	1000
12000000	13	178	32	0	13	1854	1000
12000000	14	191	34	0	15	1996	1000
12000000	15	205	37	0	16	2139	1000
12000000	16	219	39	0	17	2281	1000
12000000	17	232	42	0	18	2424	1000
12000000	18	246	44	0	19	2567	1000
12000000	19	260	47	0	20	2709	1000
12000000	20	273	49	0	21	2852	1000
12000000	21	287	52	0	22	2994	1500
12000000	22	301	54	0	23	3137	1500
12000000	23	314	57	0	24	3280	1500
12000000	24	328	59	0	25	3422	1500
12000000	25	341	61	0	26	3565	1500
12000000	26	355	64	0	27	3707	1500
12000000	27	369	66	0	28	3850	1500
12000000	28	382	69	0	29	3993	1500
12000000	29	396	71	0	30	4135	1500
12000000	30	410	74	0	31	4278	1500
12000000	31	423	76	0	32	4420	1500
12000000	32	437	79	0	33	4563	2250
12000000	33	451	81	0	34	4706	2250
12000000	34	464	84	0	35	4848	2250
12000000	35	478	86	0	36	4991	2250
12000000	36	492	89	0	37	5133	2250
12000000	37	505	91	0	38	5276	2250
12000000	38	519	93	0	39	5418	2250
12000000	39	533	96	0	40	5561	2250
12000000	40	546	98	0	41	5704	2250
12000000	41	560	101	0	43	5846	2250
12000000	42	574	103	0	44	5989	2250
12000000	43	587	106	0	45	6131	3375
12000000	44	601	108	0	46	6274	3375
12000000	45	615	111	0	47	6417	3375
12000000	46	628	113	0	48	6559	3375
12000000	47	642	116	0	49	6702	3375
12000000	48	656	118	0	50	6844	3375
12000000	49	669	120	0	51	6987	3375
12000000	50	683	123	0	52	7130	3375
12000000	51	697	125	0	53	7272	3375
12000000	52	710	128	0	54	7415	3375
12000000	53	724	130	0	55	7557	3375
12000000	54	738	133	0	56	7700	5062
12000000	55	751	135	0	57	7843	5062
12000000	56	765	138	0	58	7985	5062
12000000	57	779	140	0	59	8128	5062
12000000	58	792	143	0	60	8270	5062
12000000	59	806	145	0	61	8413	5062
12000000	60	820	148	0	62	8556	5062
12000000	61	833	150	0	63	8698	5062
12000000	62	847	152	0	64	8841	5062
12000000	63	861	155	0	65	8983	5062
12000000	64	874	157	0	66	9126	5062
12000000	65	888	160	0	67	9268	7593
12000000	66	902	162	0	68	9411	7593
12000000	67	915	165	0	69	9554	7593
12000000	68	929	167	0	70	9696	7593
12000000	69	943	170	0	72	9839	7593
12000000	70	956	172	0	73	9981	7593
12000000	71	970	175	0	74	10124	7593
12000000	72	983	177	0	75	10267	7593
12000000	73	997	179	0	76	10409	7593
12000000	74	1011	182	0	77	10552	7593
12000000	75	1024	184	0	78	10694	7593
12000000	76	1038	187	0	79	10837	11389
12000000	77	1052	189	0	80	10980	11389
12000000	78	1065	192	0	81	11122	11389
12000000	79	1079	194	0	82	11265	11389
12000000	80	1093	197	0	83	11407	11389
12000001	1	14	2	0	1	143	500
12000001	2	27	5	0	2	285	500
12000001	3	41	7	0	3	428	500
12000001	4	55	10	0	4	570	500
12000001	5	68	12	0	5	713	500
12000001	6	82	15	0	6	856	500
12000001	7	96	17	0	7	998	500
12000001	8	109	20	0	8	1141	500
12000001	9	123	22	0	9	1283	500
12000001	10	137	25	0	10	1426	500
12000001	11	150	27	0	11	1569	1000
12000001	12	164	30	0	12	1711	1000
12000001	13	178	32	0	13	1854	1000
12000001	14	191	34	0	15	1996	1000
12000001	15	205	37	0	16	2139	1000
12000001	16	219	39	0	17	2281	1000
12000001	17	232	42	0	18	2424	1000
12000001	18	246	44	0	19	2567	1000
12000001	19	260	47	0	20	2709	1000
12000001	20	273	49	0	21	2852	1000
12000001	21	287	52	0	22	2994	1500
12000001	22	301	54	0	23	3137	1500
12000001	23	314	57	0	24	3280	1500
12000001	24	328	59	0	25	3422	1500
12000001	25	341	61	0	26	3565	1500
12000001	26	355	64	0	27	3707	1500
12000001	27	369	66	0	28	3850	1500
12000001	28	382	69	0	29	3993	1500
12000001	29	396	71	0	30	4135	1500
12000001	30	410	74	0	31	4278	1500
12000001	31	423	76	0	32	4420	1500
12000001	32	437	79	0	33	4563	2250
12000001	33	451	81	0	34	4706	2250
12000001	34	464	84	0	35	4848	2250
12000001	35	478	86	0	36	4991	2250
12000001	36	492	89	0	37	5133	2250
12000001	37	505	91	0	38	5276	2250
12000001	38	519	93	0	39	5418	2250
12000001	39	533	96	0	40	5561	2250
12000001	40	546	98	0	41	5704	2250
12000001	41	560	101	0	43	5846	2250
12000001	42	574	103	0	44	5989	2250
12000001	43	587	106	0	45	6131	3375
12000001	44	601	108	0	46	6274	3375
12000001	45	615	111	0	47	6417	3375
12000001	46	628	113	0	48	6559	3375
12000001	47	642	116	0	49	6702	3375
12000001	48	656	118	0	50	6844	3375
12000001	49	669	120	0	51	6987	3375
12000001	50	683	123	0	52	7130	3375
12000001	51	697	125	0	53	7272	3375
12000001	52	710	128	0	54	7415	3375
12000001	53	724	130	0	55	7557	3375
12000001	54	738	133	0	56	7700	5062
12000001	55	751	135	0	57	7843	5062
12000001	56	765	138	0	58	7985	5062
12000001	57	779	140	0	59	8128	5062
12000001	58	792	143	0	60	8270	5062
12000001	59	806	145	0	61	8413	5062
12000001	60	820	148	0	62	8556	5062
12000001	61	833	150	0	63	8698	5062
12000001	62	847	152	0	64	8841	5062
12000001	63	861	155	0	65	8983	5062
12000001	64	874	157	0	66	9126	5062
12000001	65	888	160	0	67	9268	7593
12000001	66	902	162	0	68	9411	7593
12000001	67	915	165	0	69	9554	7593
12000001	68	929	167	0	70	9696	7593
12000001	69	943	170	0	72	9839	7593
12000001	70	956	172	0	73	9981	7593
12000001	71	970	175	0	74	10124	7593
12000001	72	983	177	0	75	10267	7593
12000001	73	997	179	0	76	10409	7593
12000001	74	1011	182	0	77	10552	7593
12000001	75	1024	184	0	78	10694	7593
12000001	76	1038	187	0	79	10837	11389
12000001	77	1052	189	0	80	10980	11389
12000001	78	1065	192	0	81	11122	11389
12000001	79	1079	194	0	82	11265	11389
12000001	80	1093	197	0	83	11407	11389
12000002	1	0	1	17	1	99	500
12000002	2	0	2	34	2	198	500
12000002	3	0	4	50	4	298	500
12000002	4	0	5	67	5	397	500
12000002	5	0	6	84	6	496	500
12000002	6	0	7	101	7	595	500
12000002	7	0	8	117	8	694	500
12000002	8	0	10	134	9	793	500
12000002	9	0	11	151	11	893	500
12000002	10	0	12	168	12	992	500
12000002	11	0	13	185	13	1091	1000
12000002	12	0	14	201	14	1190	1000
12000002	13	0	15	218	15	1289	1000
12000002	14	0	17	235	16	1389	1000
12000002	15	0	18	252	18	1488	1000
12000002	16	0	19	268	19	1587	1000
12000002	17	0	20	285	20	1686	1000
12000002	18	0	21	302	21	1785	1000
12000002	19	0	23	319	22	1885	1000
12000002	20	0	24	335	23	1984	1000
12000002	21	0	25	352	25	2083	1500
12000002	22	0	26	369	26	2182	1500
12000002	23	0	27	386	27	2281	1500
12000002	24	0	29	403	28	2380	1500
12000002	25	0	30	419	29	2480	1500
12000002	26	0	31	436	31	2579	1500
12000002	27	0	32	453	32	2678	1500
12000002	28	0	33	470	33	2777	1500
12000002	29	0	35	486	34	2876	1500
12000002	30	0	36	503	35	2976	1500
12000002	31	0	37	520	36	3075	1500
12000002	32	0	38	537	38	3174	2250
12000002	33	0	39	554	39	3273	2250
12000002	34	0	41	570	40	3372	2250
12000002	35	0	42	587	41	3471	2250
12000002	36	0	43	604	42	3571	2250
12000002	37	0	44	621	43	3670	2250
12000002	38	0	45	637	45	3769	2250
12000002	39	0	46	654	46	3868	2250
12000002	40	0	48	671	47	3967	2250
12000002	41	0	49	688	48	4067	2250
12000002	42	0	50	704	49	4166	2250
12000002	43	0	51	721	50	4265	3375
12000002	44	0	52	738	52	4364	3375
12000002	45	0	54	755	53	4463	3375
12000002	46	0	55	772	54	4563	3375
12000002	47	0	56	788	55	4662	3375
12000002	48	0	57	805	56	4761	3375
12000002	49	0	58	822	58	4860	3375
12000002	50	0	60	839	59	4959	3375
12000002	51	0	61	855	60	5058	3375
12000002	52	0	62	872	61	5158	3375
12000002	53	0	63	889	62	5257	3375
12000002	54	0	64	906	63	5356	5062
12000002	55	0	66	923	65	5455	5062
12000002	56	0	67	939	66	5554	5062
12000002	57	0	68	956	67	5654	5062
12000002	58	0	69	973	68	5753	5062
12000002	59	0	70	990	69	5852	5062
12000002	60	0	71	1006	70	5951	5062
12000002	61	0	73	1023	72	6050	5062
12000002	62	0	74	1040	73	6149	5062
12000002	63	0	75	1057	74	6249	5062
